Location,Log Type,Content Summary,Recommendation,Rationale
buildSynthesisPrompt (line ~10),console.log,"buildSynthesisPrompt called with: {originalPromptLength, sourceResultsCount, ...}",Flag: if (DEBUG_WORKFLOW) console.log(...),"Entry trace; useful for prompt bloat checks, but spams every synthesis."
buildSynthesisPrompt (line ~20),console.log,"Filtered batch results: {originalCount, filteredCount, excludedSynthesizer}",Delete,Deterministic filter; count derivable from args.
buildSynthesisPrompt (line ~35),console.log,"Built synthesis prompt sections: {otherResultsLength, mappingSectionLength, ...}",Flag,"Lengths help spot truncation, but rare; flag for perf tuning."
buildSynthesisPrompt (line ~70),console.log,Final synthesis prompt length: ${finalPrompt.length},Delete,Implicit from above; no action.
buildSynthesisPrompt (line ~72),console.log,"Final synthesis prompt contains ""CONFLICT RESOLUTION MAP"": ${includes}",Delete,Template validation; static check—move to unit test.
buildSynthesisPrompt (line ~73),console.log,"Final synthesis prompt contains ""(MAP)"": ${includes}",Delete,Duplicate of above; remnant from iteration.
makeDelta cases (lines ~110-150),logger.stream,"First emission: {providerId, textLength} / Incremental append: {deltaLen} / Duplicate (no-op) / Acceptable regression: {chars, percent} / Divergence detected",Keep (guarded),Streaming-specific; already behind STREAMING_DEBUG. Tune threshold if regressions false-positive.
makeDelta regression warn (line ~145),logger.warn,"Significant text regression for ${providerId}: {prevLen, fullLen, ...}",Keep,"Signals LLM flakes (e.g., truncated streams); actionable."
clearDeltaCache (line ~165),logger.debug,Cleared ${keysToDelete.length} cache entries for session ${sessionId},Delete,"Cleanup echo; memory leaks show in metrics, not logs."
execute prompt loop (line ~220),console.log,Cached context for ${pid}: ${keys},Flag,Context propagation trace; flag for dep debugging.
execute prompt catch (line ~230),console.error,Prompt step ${stepId} failed: ${error},Keep,Step failure; gates early exit.
execute mapping/synthesis loops (lines ~250-280),console.error,[Type] step ${stepId} failed: ${error},Keep,Consistent failure surfacing.
execute persistence try (line ~300),console.error,CRITICAL persistence failed: ${e},Keep,Blocks history; high-severity.
execute deferred catch (line ~320),console.warn,Deferred non-critical persistence failed: ${e},Keep,Background flake; non-blocking but signals DB issues.
_emitTurnFinalized skip (line ~340),console.log,Skipping TURN_FINALIZED for historical rerun,Flag,"Historical mode trace; rare, but flags rerun paths."
_emitTurnFinalized no msg (line ~345),console.log,"No user message, skipping TURN_FINALIZED",Delete,Guard echo; obvious from context.
_emitTurnFinalized emit (line ~410),console.log,"Emitting TURN_FINALIZED {userTurnId, aiTurnId, batchCount, ...}",Flag,Canonical ID alignment; useful for UI sync bugs.
_emitTurnFinalized catch (line ~415),console.error,Failed to emit TURN_FINALIZED: ${error},Keep,UI hang risk.
"_persistCriticalTurnData (implicit, line ~430)",N/A,No logs; silent if no msg,Add console.warn if !userMessage post-guard,Silent skip risks incomplete turns; low-volume.
_persistNonCriticalData no id (line ~510),console.warn,No canonicalUserTurnId; cannot append...,Keep,Persistence gap; prevents orphans.
_persistCompletedTurn historical (lines ~530-570),N/A (in try),No explicit; catches with warn,Consolidate to single console.warn on append fail,Dupe collection logic vs. non-critical; abstract to helper.
_persistCompletedTurn fallback (line ~580),console.warn,Failed to persist last finalized turn...,Keep,ID stability fail.
